노선명,휴게소명,소재지,부지면적(제곱미터),대형,소형,장애인,운영형태,1일 이용객수,1일 차량 통행량
남해선,진주(부산),경남 진주시 남해고속도로 194 진주(부산)휴게소,93523,38,154,7,임대,2941,2040
남해선,함안(부산),경남 함안군 군북면 현포로 205 함안(부산)휴게소,63813,68,206,7,임대,4251,4435
남해선,함안(순천),경남 함안군 군북면 현포로 205-1 함안(순천)휴게소,61050,58,207,7,임대,10351,4545
광주대구선,강천산(광주),전북 순창군 순창읍 광주대구간고속도로 27 강천산(광주)휴게소,17767,25,68,2,임대,2869,1716
광주대구선,강천산(대구),전북 순창군 순창읍 광주대구간고속도로 28 강천산(대구)휴게소,17796,19,44,2,임대,2625,1823
광주대구선,거창(광주),경남 거창 가조 가조가야로 1543-81거창(광주)휴게소,56462,26,78,4,임대,5875,1555
광주대구선,거창(대구),경남 거창 가조 가조가야로 1523거창(대구)휴게소,56462,22,69,3,임대,2118,1609
광주대구선,논공(광주),대구광역시 달성군 광주대구고속도로 169,29234,35,86,4,임대,4986,2897
광주대구선,논공(대구),대구광역시 달성군 광주대구고속도로 170,37766,15,93,4,임대,3032,2347
광주대구선,지리산(광주),전북 남원시 아영면 광주대구고속도로 75 지리산(광주)휴게소,42007,46,95,4,임대,2611,1534
광주대구선,지리산(대구),전북 남원시 아영면 광주대구고속도로 76 지리산(대구)휴게소,42826,31,73,3,임대,2485,1629
무안광주선,함평나비(광주),전남 함평군 엄다면 무안-광주고속도로 12 함평나비(광주)휴게소,50184,44,96,8,임대,3168,2239
무안광주선,함평나비(무안),전남 함평군 엄다면 무안-광주고속도로 11 함평나비(무안)휴게소,47179,44,96,8,임대,4462,2572
함양울산선,울주(울산),울산광역시 울주군 삼동면 함양울산고속도로 134,32604,43,110,6,임대,,1440
함양울산선,울주(함양),울산광역시 울주군 삼동면 함양울산고속도로 133,32777,50,153,5,임대,,1249
서해안선,고창고인돌(목포),전북 고창군 신림면 서해안고속도로 81 고창(목포)휴게소,52451,84,202,8,민자,7663,2301
서해안선,고창고인돌(서울),전북 고창군 고창읍 서해안고속도로 80 고창(서울)휴게소,114191,74,178,7,민자,4786,2350
서해안선,군산(목포),전북 군산시 성산면 서해안고속도로 141군산(목포)휴게소,46516,38,108,5,임대,6942,2507
서해안선,군산(서울),전북 군산시 나포면 서해안고속도로 148군산(서울)휴게소,61066,33,171,8,임대,6223,3263
서해안선,대천(목포),충남 보령시 주교면 서해안고속도로 199대천(목포)휴게소,36654,32,140,8,민자,4620,1779
서해안선,대천(서울),충남 보령시 주교면 서해안고속도로 200 대천(서울)휴게소,52250,46,156,9,민자,3243,1747
서해안선,매송(목포),경기 화성시 매송면 서해안고속도로 315 매송(목포)휴게소,78280,147,231,16,민자,,5175
서해안선,매송(서울),경기 화성시 매송면 서해안고속도로 316 매송(시흥)휴게소,82849,130,250,16,민자,,6368
서해안선,목감(서울),경기 시흥시 목감1길 47 목감(광명)휴게소,19800,,,,임대,6909,공사중
서해안선,부안고려청자(목포),전북 부안군 주산면 서해안고속도로 103 부안고려청자(목포)휴게소,9993,31,120,4,임대,,2105
서해안선,부안고려청자(서울),전북 부안군 주산면 서해안고속도로 106 부안고려청자(서울)휴게소,9938,31,123,4,임대,,1690
서해안선,서산(목포),충남 서산시 해미면 서해안고속도로 241서산(목포)휴게소,54968,49,196,8,민자,8264,3365
서해안선,서산(서울),충남 서산시 해미면 서해안고속도로 242서산(서울)휴게소,49421,65,125,7,민자,5072,2136
서해안선,서천(목포),충남 서천군 비인면 서해안고속도로 169 서천(목포)휴게소,57948,36,111,5,임대,3973,1970
